# This file is generated by gfold V1.1.2 on Tue Jun 27 19:47:22 2017
# Normalization constants :
#    RWPE1	42835828	1.02731
#    AQ0420	40667618	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0.0388741	0	0
A1BG	A1BG	-2.19626	1	-3.14333	1.54664	0.167087
A1BG-AS1	A1BG-AS1	-1.84297	1	-2.21747	4.70187	1.02745
A1CF	A1CF	-1.42667	1	-4.35344	0.0489977	0
A2M	A2M	0	1	-0.698092	0.0200687	0.0105693
A2M-AS1	A2M-AS1	0	1	-0.408585	0.149442	0.112435
A2ML1	A2ML1	-0.0436543	1	-0.196157	4.57061	4.08986
A2MP1	A2MP1	0	1	0.0388741	0	0
A3GALT2	A3GALT2	0	1	-0.961126	0.0228201	0
A4GALT	A4GALT	0.785073	1	1.0137	3.53745	7.33456
A4GNT	A4GNT	0	1	-0.961126	0.0131818	0
AA06	AA06	0	1	0.0388741	0	0
AAAS	AAAS	-0.0509333	1	-0.171225	21.2735	19.3692
AACS	AACS	0.0235541	1	0.142947	10.7059	12.1208
AACSP1	AACSP1	0	1	0.0388741	0	0
AADAC	AADAC	2.63919	1	5.46514	0	0.643065
AADACL2	AADACL2	0	1	0.0388741	0	0
AADACL2-AS1	AADACL2-AS1	0	1	1.03887	0.0302396	0.0955554
AADACL3	AADACL3	0	1	0.0388741	0	0
AADACL4	AADACL4	0	1	0.0388741	0	0
AADACP1	AADACP1	4.16331	1	5.80264	0.0362218	3.09039
AADAT	AADAT	1.45088	1	1.79701	1.03192	3.6994
AAED1	AAED1	-1.1615	1	-1.33524	24.9267	10.1169
AAGAB	AAGAB	-0.226975	1	-0.301044	31.796	26.4594
AAK1	AAK1	0.310708	1	0.470918	0.83214	1.18294
AAMDC	AAMDC	0.23967	1	0.616419	5.97519	9.41625
AAMP	AAMP	0.74324	1	0.83069	30.0242	54.7609
AANAT	AANAT	0	1	1.17638	0.0434527	0.114423
AAR2	AAR2	1.00722	1	1.101	15.8222	34.8078
AARD	AARD	-1.70985	1	-4.60498	0.313706	0
AARS	AARS	-1.50773	1	-1.56253	104.724	36.3476
AARS2	AARS2	0.0116872	1	0.149391	5.57506	6.34023
AARSD1	AARSD1	0	1	0.119347	11.0221	12.2768
AASDH	AASDH	-1.00024	1	-1.16276	8.24185	3.77091
AASDHPPT	AASDHPPT	0.267633	1	0.352394	23.0186	30.1332
AASS	AASS	2.248	1	3.19642	0.0477158	0.481656
AATF	AATF	0.35026	1	0.452193	20.5972	28.8965
AATK	AATK	0	1	0.479447	0.11764	0.169805
AATK-AS1	AATK-AS1	0	1	1.03887	0	0.0155926
ABAT	ABAT	2.69231	1	2.90131	1.09442	8.40939
ABCA1	ABCA1	-1.86647	1	-1.93523	25.7701	6.90719
ABCA10	ABCA10	-0.0486701	1	-0.961126	0.136434	0.069912
ABCA11P	ABCA11P	0.26233	1	0.487595	4.68131	6.73456
ABCA12	ABCA12	1.11131	1	1.46457	0.2915	0.829275
ABCA13	ABCA13	2.79213	1	3.79376	0.0149438	0.230384
ABCA17P	ABCA17P	2.99413	1	4.29626	0.0390197	0.892459
ABCA2	ABCA2	-1.28418	1	-1.43577	5.05714	1.91481
ABCA3	ABCA3	0.0177292	1	0.395666	0.486426	0.657158
ABCA4	ABCA4	2.25895	1	3.97747	0.00637405	0.151062
ABCA5	ABCA5	-0.270428	1	-0.438358	2.35689	1.78261
ABCA6	ABCA6	-0.782612	1	-2.44655	0.119017	0.0185722
ABCA7	ABCA7	0	1	-0.139352	3.50277	3.26034
ABCA8	ABCA8	0	1	-2.76848	0.0233294	0
ABCA9	ABCA9	0	1	-1.13105	0.0296397	0.0117075
ABCB1	ABCB1	0	1	-0.961126	0.00495016	0
ABCB10	ABCB10	0.726993	1	0.853578	6.59735	12.2279
ABCB11	ABCB11	2.77564	1	5.59346	0	0.236884
ABCB4	ABCB4	0	1	-0.446553	0.0351228	0.0246636
ABCB5	ABCB5	0	1	0.0388741	0	0
ABCB6	ABCB6	0	1	-0.01228	11.3167	11.5045
ABCB7	ABCB7	0	1	-0.0296668	7.55386	7.58698
ABCB8	ABCB8	0.731999	1	0.89813	3.07157	5.87346
ABCB9	ABCB9	0.826532	1	1.10154	1.27206	2.80557
