# This file is generated by gfold V1.1.2 on Tue Jun 27 19:23:35 2017
# Normalization constants :
#    RWPE1	42835828	1.15985
#    AQ0411	36940271	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0.213936	0	0
A1BG	A1BG	-0.960467	1	-1.58124	1.54664	0.505852
A1BG-AS1	A1BG-AS1	-1.32425	1	-1.66389	4.70187	1.47427
A1CF	A1CF	-1.2516	1	-3.17838	0.0489977	0.00284088
A2M	A2M	0	1	-1.10799	0.0200687	0.00581791
A2M-AS1	A2M-AS1	0	1	-0.371027	0.149442	0.111402
A2ML1	A2ML1	1.29473	1	1.41778	4.57061	12.2154
A2MP1	A2MP1	0	1	0.213936	0	0
A3GALT2	A3GALT2	0	1	-0.786064	0.0228201	0
A4GALT	A4GALT	0.270928	1	0.523104	3.53745	5.08547
A4GNT	A4GNT	0	1	-0.786064	0.0131818	0
AA06	AA06	0	1	0.213936	0	0
AAAS	AAAS	0	1	-0.00816972	21.2735	21.1467
AACS	AACS	0.334123	1	0.45086	10.7059	14.6317
AACSP1	AACSP1	0	1	0.213936	0	0
AADAC	AADAC	0	1	0.213936	0	0
AADACL2	AADACL2	0	1	0.213936	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-0.786064	0.0302396	0
AADACL3	AADACL3	0	1	0.213936	0	0
AADACL4	AADACL4	0	1	0.213936	0	0
AADACP1	AADACP1	0	1	0.950901	0.0362218	0.0840054
AADAT	AADAT	0.34923	1	0.75215	1.03192	1.74244
AAED1	AAED1	-1.54246	1	-1.74371	24.9267	7.42511
AAGAB	AAGAB	-0.505819	1	-0.587137	31.796	21.1574
AAK1	AAK1	0.256271	1	0.422413	0.83214	1.11516
AAMDC	AAMDC	0.291485	1	0.675384	5.97519	9.56069
AAMP	AAMP	0.802342	1	0.891147	30.0242	55.6814
AANAT	AANAT	0	1	0.699362	0.0434527	0.0755814
AAR2	AAR2	0	1	0.00748475	15.8222	15.8998
AARD	AARD	-1.53478	1	-4.42992	0.313706	0
AARS	AARS	-1.10146	1	-1.15312	104.724	47.0742
AARS2	AARS2	0	1	-0.0377835	5.57506	5.42886
AARSD1	AARSD1	0	1	-0.179641	11.0221	9.72482
AASDH	AASDH	-0.853224	1	-1.01684	8.24185	4.06823
AASDHPPT	AASDHPPT	1.36983	1	1.44492	23.0186	62.6667
AASS	AASS	4.59507	1	5.48216	0.0477158	2.30546
AATF	AATF	0.782771	1	0.880993	20.5972	37.9319
AATK	AATK	0.403025	1	1.16147	0.11764	0.267777
AATK-AS1	AATK-AS1	0	1	1.7989	0	0.0343319
ABAT	ABAT	3.6165	1	3.81986	1.09442	15.5029
ABCA1	ABCA1	-2.70845	1	-2.80133	25.7701	3.69381
ABCA10	ABCA10	-0.566301	1	-2.03399	0.136434	0.0299313
ABCA11P	ABCA11P	-0.379969	1	-0.666225	4.68131	2.94278
ABCA12	ABCA12	3.23577	1	3.54683	0.2915	3.43223
ABCA13	ABCA13	7.44086	1	8.38678	0.0149438	5.45384
ABCA17P	ABCA17P	0	1	0.535864	0.0390197	0.0581749
ABCA2	ABCA2	-0.361962	1	-0.489194	5.05714	3.6008
ABCA3	ABCA3	0	1	0.0722745	0.486426	0.510923
ABCA4	ABCA4	0	1	1.43633	0.00637405	0.022174
ABCA5	ABCA5	-0.367861	1	-0.545525	2.35689	1.61328
ABCA6	ABCA6	-1.21887	1	-3.00846	0.119017	0.0102231
ABCA7	ABCA7	0.187606	1	0.332877	3.50277	4.4112
ABCA8	ABCA8	0	1	-2.59342	0.0233294	0
ABCA9	ABCA9	0	1	-2.95599	0.0296397	0
ABCB1	ABCB1	0	1	0.213936	0.00495016	0.00574019
ABCB10	ABCB10	0	1	0.0679441	6.59735	6.91332
ABCB11	ABCB11	3.04521	1	5.85779	0	0.277794
ABCB4	ABCB4	0	1	0.213936	0.0351228	0.0407283
ABCB5	ABCB5	0	1	0.213936	0	0
ABCB6	ABCB6	-0.506077	1	-0.652508	11.3167	7.19375
ABCB7	ABCB7	0.241444	1	0.401949	7.55386	9.98019
ABCB8	ABCB8	0.313584	1	0.494587	3.07157	4.32789
ABCB9	ABCB9	0.677612	1	0.964322	1.27206	2.48616
ABCC1	ABCC1	0.433318	1	0.525344	8.51559	12.2546
ABCC10	ABCC10	0.733166	1	0.907434	2.52932	4.7463
ABCC11	ABCC11	0	1	1.47697	0.019026	0.060672
ABCC12	ABCC12	0	1	0.213936	0	0
ABCC13	ABCC13	0	1	0.213936	0	0
ABCC2	ABCC2	0	1	0.510917	0.295777	0.422514
ABCC3	ABCC3	-0.467689	1	-0.579693	10.7668	7.20037
ABCC4	ABCC4	0.72231	1	0.863854	3.40167	6.1918
ABCC5	ABCC5	0.114796	1	0.273955	2.87678	3.47778
ABCC5-AS1	ABCC5-AS1	0	1	-0.371027	0.099552	0.0577201
ABCC6	ABCC6	0	1	-0.409501	0.234328	0.174681
ABCC6P1	ABCC6P1	0	1	-0.271491	0.111411	0.0894407
ABCC6P2	ABCC6P2	0	1	-0.449029	1.22346	0.881908
ABCC8	ABCC8	0	1	0.213936	0	0
ABCC9	ABCC9	2.10384	1	3.46186	0.0193116	0.239932
ABCD1	ABCD1	0.661076	1	1.04022	0.75183	1.55154
ABCD2	ABCD2	0	1	0.213936	0	0
ABCD3	ABCD3	0.619325	1	0.709916	14.35	23.4703
ABCD4	ABCD4	-0.096339	1	-0.283564	5.6717	4.65613
ABCE1	ABCE1	0.131759	1	0.188654	39.0864	44.537
ABCF1	ABCF1	0.197453	1	0.288044	18.0209	21.9989
ABCF2	ABCF2	0.193086	1	0.27776	14.4384	17.5003
ABCF3	ABCF3	0	1	0.0249018	12.4077	12.6197
ABCG1	ABCG1	-0.710654	1	-0.833285	14.674	8.2301
ABCG2	ABCG2	2.16455	1	2.4451	0.799417	4.3734
ABCG4	ABCG4	0	1	-2.10799	0.0237306	0
ABCG5	ABCG5	0	1	0.213936	0	0
ABCG8	ABCG8	0	1	-2.10799	0.0350393	0
ABHD1	ABHD1	0	1	0.436328	1.33999	1.81595
ABHD10	ABHD10	0.170678	1	0.294653	11.8472	14.529
ABHD11	ABHD11	1.53655	1	1.80878	2.73895	9.62698
ABHD12	ABHD12	0.450661	1	0.572007	13.12	19.503
ABHD12B	ABHD12B	0	1	-0.419936	0.601392	0.443782
ABHD13	ABHD13	-0.0604795	1	-0.221661	4.45588	3.81911
ABHD14A	ABHD14A	0	1	-0.207051	3.39218	2.93185
ABHD14A-ACY1	ABHD14A-ACY1	-0.0340302	1	-0.159065	20.4377	18.2969
ABHD14B	ABHD14B	-0.814325	1	-0.943041	20.7106	10.7639
ABHD15	ABHD15	0	1	-0.11727	3.52088	3.24365
ABHD16A	ABHD16A	-0.2044	1	-0.354672	11.5454	9.02358
ABHD16B	ABHD16B	0	1	-0.393747	1.24874	0.945037
ABHD17A	ABHD17A	0	1	-0.132829	16.9237	15.4284
ABHD17B	ABHD17B	0.746076	1	0.909903	4.79789	9.01804
ABHD17C	ABHD17C	0.177244	1	0.305283	13.1563	16.2539
ABHD2	ABHD2	-0.516295	1	-0.580898	18.7644	12.5409
ABHD3	ABHD3	0.158335	1	0.338026	7.54413	9.53509
ABHD4	ABHD4	-0.985572	1	-1.19631	8.37403	3.64683
ABHD5	ABHD5	-0.128274	1	-0.276194	5.35543	4.41992
ABHD6	ABHD6	-2.15408	1	-2.46668	7.74588	1.39143
ABHD8	ABHD8	0.793749	1	1.05994	2.69193	5.62139
ABI1	ABI1	0.194376	1	0.287936	15.4994	18.9194
ABI2	ABI2	0.38286	1	0.489956	6.02244	8.45692
ABI3	ABI3	0	1	0.213936	0	0
ABI3BP	ABI3BP	0	1	0.0670942	0.156572	0.163405
ABL1	ABL1	-1.20269	1	-1.28767	23.0983	9.45637
ABL2	ABL2	0.220746	1	0.297343	6.88223	8.45572
ABLIM1	ABLIM1	-0.540455	1	-0.598599	25.6898	16.9604
ABLIM2	ABLIM2	-0.711098	1	-1.40497	0.390614	0.14388
ABLIM3	ABLIM3	2.13076	1	2.31989	2.00869	10.0477
ABO	ABO	0	1	2.53586	0	0.0685769
ABR	ABR	0.790103	1	0.888278	6.61838	12.2502
ABRA	ABRA	0	1	0.365939	0.0678139	0.0884664
ABRACL	ABRACL	1.1274	1	1.3075	13.7859	34.1508
ABT1	ABT1	0	1	0.143676	11.4919	12.692
ABTB1	ABTB1	0	1	0.273642	1.62791	1.96805
ABTB2	ABTB2	0	1	0.0532629	1.93787	2.00974
AC093375.1	AC093375.1	-0.553307	1	-1.17652	1.24784	0.54262
ACAA1	ACAA1	0	1	0.0947225	6.80258	7.26155
ACAA2	ACAA2	-1.12973	1	-1.5333	3.3919	1.16177
ACACA	ACACA	0.813961	1	0.872655	10.9094	19.9724
ACACB	ACACB	-1.25458	1	-1.55	1.36046	0.462447
ACAD10	ACAD10	-0.434754	1	-0.623757	4.91113	3.18363
ACAD11	ACAD11	-1.62195	1	-1.81047	10.1691	2.89282
ACAD8	ACAD8	0	1	-0.0470936	7.61548	7.36727
ACAD9	ACAD9	0.962546	1	1.10317	7.34038	15.774
ACADL	ACADL	0	1	0.213936	0	0
ACADM	ACADM	0.29318	1	0.410213	13.1203	17.433
ACADS	ACADS	0.524571	1	0.809452	2.75219	4.82952
ACADSB	ACADSB	0.137438	1	0.458823	0.781963	1.07536
ACADVL	ACADVL	0	1	-0.0396394	104.807	101.942
ACAN	ACAN	0	1	-1.95599	0.0211266	0.0030623
ACAP1	ACAP1	-0.479662	1	-1.21491	0.642265	0.269844
ACAP2	ACAP2	-0.562777	1	-0.634202	20.0011	12.8822
ACAP3	ACAP3	-0.907218	1	-1.09965	6.41536	2.98865
ACAT1	ACAT1	1.47679	1	1.58916	13.3025	40.0352
ACAT2	ACAT2	0	1	0.106797	29.8472	32.1323
ACBD3	ACBD3	0.0735201	1	0.164845	18.0015	20.1759
ACBD4	ACBD4	1.0177	1	1.274	2.08376	5.04875
ACBD5	ACBD5	0	1	-0.0363358	8.02122	7.81902
ACBD6	ACBD6	-0.00698817	1	-0.130384	24.1395	22.0452
ACBD7	ACBD7	1.34	1	1.72335	0.671946	2.23313
ACCS	ACCS	0	1	0.35366	1.21071	1.54793
ACCSL	ACCSL	0	1	0.213936	0	0
ACD	ACD	0	1	-0.0925537	9.96623	9.34241
ACE	ACE	3.65592	1	5.05524	0.0223653	0.88697
ACE2	ACE2	1.3758	1	2.33732	0.0865367	0.463143
ACER1	ACER1	0	1	1.7989	0	0.0497624
ACER2	ACER2	0.198648	1	0.537512	1.42427	2.06922
ACER3	ACER3	1.31118	1	1.44363	4.78925	13.0325
ACHE	ACHE	0	1	-2.10799	0.0310438	0
ACIN1	ACIN1	0.0713159	1	0.138258	23.4448	25.7969
ACKR1	ACKR1	0	1	0.213936	0	0
ACKR2	ACKR2	0	1	-2.78606	0.0552076	0
ACKR3	ACKR3	3.55395	1	3.9453	0.778165	12.1432
ACKR4	ACKR4	0	1	0.600959	0.225163	0.34465
ACLY	ACLY	0.902998	1	0.967324	23.1358	45.2298
ACMSD	ACMSD	0	1	0.950901	0.0373519	0.0866263
ACN9	ACN9	-0.191123	1	-0.384592	8.47772	6.48803
ACO1	ACO1	0.31692	1	0.414967	14.0973	18.7925
ACO2	ACO2	0.0750858	1	0.155042	30.6525	34.1223
ACOT1	ACOT1	0.426014	1	0.609176	8.53408	13.0203
ACOT11	ACOT11	1.38287	1	1.65265	1.39753	4.40668
ACOT12	ACOT12	0	1	0.213936	0	0
ACOT13	ACOT13	-0.133653	1	-0.268935	7.78519	6.45803
ACOT2	ACOT2	0.382576	1	0.536201	8.70973	12.6306
ACOT4	ACOT4	0	1	0.292324	2.80368	3.4336
ACOT6	ACOT6	0	1	3.53586	0	0.242666
ACOT7	ACOT7	1.11595	1	1.23968	10.5731	24.9744
ACOT8	ACOT8	-0.276039	1	-0.45849	17.2645	12.5529
ACOT9	ACOT9	0.609816	1	0.727357	18.6138	30.8171
ACOX1	ACOX1	0.848459	1	0.935499	6.99258	13.373
ACOX2	ACOX2	0	1	-0.786064	0.0101104	0
ACOX3	ACOX3	-0.220435	1	-0.46011	4.0614	2.9482
ACOXL	ACOXL	2.74086	1	5.57149	0	0.456312
ACP1	ACP1	0.525415	1	0.603186	40.5994	61.6643
ACP2	ACP2	0.406758	1	0.565902	7.95667	11.779
ACP5	ACP5	0.356544	1	1.016	0.490115	1.00207
ACP6	ACP6	0.992183	1	1.18605	5.72003	13.0263
ACPP	ACPP	0	1	0.818007	0.146747	0.262341
ACPT	ACPT	-1.48332	1	-2.17838	2.16638	0.462232
ACR	ACR	0	1	1.21394	0	0.0197597
ACRBP	ACRBP	-2.1114	1	-3.95599	0.433231	0.0143535
ACRC	ACRC	-3.24015	1	-4.57862	1.41774	0.051109
ACRV1	ACRV1	0	1	-1.06617	0.317889	0.138233
ACSBG1	ACSBG1	0	1	-0.075571	0.164511	0.15443
ACSBG2	ACSBG2	0	1	0.535864	0.125555	0.184419
ACSF2	ACSF2	1.64286	1	1.79098	6.44297	22.3132
ACSF3	ACSF3	0	1	0.104729	3.94517	4.24083
ACSL1	ACSL1	0	1	-0.0466377	8.06712	7.80788
ACSL3	ACSL3	-0.664226	1	-0.710372	81.6832	49.908
ACSL4	ACSL4	-0.483122	1	-0.548782	30.6657	20.9563
ACSL5	ACSL5	4.01726	1	4.55429	0.212	5.11914
ACSL6	ACSL6	0	1	0.365939	0.0270079	0.035233
ACSM1	ACSM1	0	1	0.213936	0.0796756	0.0923916
ACSM2A	ACSM2A	0	1	0.213936	0	0
ACSM2B	ACSM2B	0	1	0.213936	0	0
ACSM3	ACSM3	0.71434	1	1.07812	1.29411	2.74134
ACSM4	ACSM4	0	1	-1.78606	0.0401806	0
ACSM5	ACSM5	0	1	2.53586	0	0.0447635
ACSS1	ACSS1	0	1	-0.478883	0.679442	0.484849
ACSS2	ACSS2	-0.361486	1	-0.479098	15.4414	11.0725
ACSS3	ACSS3	0	1	0.213936	0	0
ACTA1	ACTA1	0	1	0.798898	0.0156467	0.0362878
ACTA2	ACTA2	1.53353	1	1.94729	0.996354	3.8756
ACTB	ACTB	0.800609	1	0.818129	782.764	1379.82
ACTBL2	ACTBL2	0.856368	1	2.02129	0.0919092	0.397244
ACTC1	ACTC1	0	1	1.7989	0	0.0146606
ACTG1	ACTG1	1.60918	1	1.62871	448.866	1387.78
ACTG1P4	ACTG1P4	-0.0159284	1	-1.87353	0.188361	0.0409542
ACTG2	ACTG2	0	1	1.21394	0	0.0203386
ACTL10	ACTL10	0.142202	1	0.683421	0.736724	1.18802
ACTL6A	ACTL6A	0.0747302	1	0.165727	33.9028	38.0212
ACTL6B	ACTL6B	0	1	0.213936	0	0
ACTL7A	ACTL7A	-0.136643	1	-3.2455	0.152781	0
ACTL7B	ACTL7B	0	1	-0.786064	0.08296	0.0384801
ACTL8	ACTL8	0	1	0.213936	0	0
ACTL9	ACTL9	0	1	0.213936	0	0
ACTN1	ACTN1	0.779032	1	0.82358	57.6881	102.078
ACTN1-AS1	ACTN1-AS1	0	1	0.628973	0.194866	0.316352
ACTN2	ACTN2	0	1	2.21394	0.00456848	0.0370832
